#----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#At. num| Sp. Name      | Ion Charge | El. Name   | Isoel. Seq. | Ground Shells (a) | Ground Level | Ionized Level     |      Ionization Energy (b) (eV)       | References
#-------|---------------|------------|------------|-------------|-------------------|--------------|-------------------|---------------------------------------|-------------------
     18 | Ar XIII       |        +12 | Argon      | C           | 1s2.2s2.2p2       | 3P0          | 2p 2P*<1/2>       |          [685.47(30)]                 |            L11770
     18 | Ar XIV        |        +13 | Argon      | B           | 1s2.2s2.2p        | 2P*<1/2>     | 2s2 1S<0>         |          [755.13(22)]                 |            L11770
     18 | Ar XV         |        +14 | Argon      | Be          | 1s2.2s2           | 1S0          | 2s 2S<1/2>        |          [855.47(30)]                 |            L11770
     18 | Ar XVI        |        +15 | Argon      | Li          | 1s2.2s            | 2S<1/2>      | 1s2 1S<0>         |          (918.3740(70))               |         L16264c99
     18 | Ar XVII       |        +16 | Argon      | He          | 1s2               | 1S0          | 1s 2S<1/2>        |         (4120.66550(40))              |            L12128
     18 | Ar XVIII      |        +17 | Argon      | H           | 1s                | 2S<1/2>      |                   |         (4426.22270(70))              |             L7188
     19 | K I           |          0 | Potassium  | K           | [Ar].4s           | 2S<1/2>      | 3p6 1S<0>         |             4.340663540(90)           | L5451,L5783,L7185
     19 | K II          |         +1 | Potassium  | Ar          | [Ne].3s2.3p6      | 1S0          | 3p5 2P*<3/2>      |            31.62500(19)               |            L12188
     19 | K III         |         +2 | Potassium  | Cl          | [Ne].3s2.3p5      | 2P*<3/2>     | 3p4 3P<2>         |           [45.8031(17)]               |            L11770
     19 | K IV          |         +3 | Potassium  | S           | [Ne].3s2.3p4      | 3P<2>        | 3p3 4S*<3/2>      |           [60.917(19)]                |            L11770
     19 | K V           |         +4 | Potassium  | P           | [Ne].3s2.3p3      | 4S*<3/2>     | 3p2 3P<0>         |           [82.66(16)]                 |              L241
     19 | K VI          |         +5 | Potassium  | Si          | [Ne].3s2.3p2      | 3P0          | 3p 2P*<1/2>       |           [99.40(20)]                 |             L7185
     19 | K VII         |         +6 | Potassium  | Al          | [Ne].3s2.3p       | 2P*<1/2>     | 3s2 1S<0>         |           117.56(11)                  |             L7185
     19 | K VIII        |         +7 | Potassium  | Mg          | [Ne].3s2          | 1S0          | 3s 2S<1/2>        |          [154.870(50)]                |            L12392
